id,calls count,io time,execution time,idle barrier time,user time,used threads,idle critical time,flush time,idle parallel,load imbalance time,thread load max,thread load min,thread load avg,total time,lost time,productive time,efficiency,in parallel,begin line,parent id
993985024,1,0.000000,3.634395,4.136265,29.063554,8,0.000000,0.000000,0.000488,0.011607,3.634395,3.632190,3.632944,29.075161,4.136265,24.927289,0.857340,0,185,0
993997392,15200,0.000000,53.914699,0.517432,431.310129,8,0.000000,0.000000,0.000000,0.007462,53.914699,53.912943,53.913766,431.317591,0.517432,430.792697,0.998783,1,568,993994976
993994976,76,0.000000,56.628761,0.837619,453.026129,8,0.000000,0.000000,0.001822,0.003960,56.628761,56.628086,56.628266,453.030088,0.837619,452.188510,0.998142,0,513,0
993986608,1,0.000000,0.000049,0.000026,0.000254,8,0.000000,0.000000,0.000048,0.000137,0.000049,0.000028,0.000032,0.000391,0.000026,0.000229,0.585366,0,263,0
993987392,1,0.000000,0.000105,0.000097,0.000737,8,0.000000,0.000000,0.000007,0.000104,0.000105,0.000089,0.000092,0.000841,0.000097,0.000640,0.760488,0,277,0
993988016,1,0.000000,0.000072,0.000037,0.000515,8,0.000000,0.000000,0.000010,0.000061,0.000072,0.000063,0.000064,0.000576,0.000037,0.000478,0.830298,0,293,0
993989856,75,0.000000,0.002749,0.003230,0.015239,8,0.000000,0.000000,0.000850,0.006752,0.002749,0.001762,0.001905,0.021992,0.003230,0.012009,0.546086,0,339,0
993990992,75,0.000000,0.009798,0.024543,0.064067,8,0.000000,0.000000,0.001589,0.014320,0.009798,0.003637,0.008008,0.078386,0.024543,0.039523,0.504213,0,361,0
0,1,0.003980,60.281384,5.001816,482.175949,8,0.000000,0.000000,0.004813,0.075123,60.281384,60.266722,60.271994,482.251072,5.001816,477.174133,0.989472,0,1,-1
